Random Seed: 1531399603
############ QEngine -> OpenCL ############
Default platform: NVIDIA CUDA
Default device: Tesla M60
OpenCL device #0: Tesla M60
OpenCL device #1: Tesla M60
>>> 'test_cnot': 
100 iterations
# of Qubits, Average Time (ms), Sample Std. Deviation (ms), Fastest (ms), 1st Quartile (ms), Median (ms), 3rd Quartile (ms), Slowest (ms)
9, 0.39344,0.0125478,0.388,0.39,0.391,0.393,0.511
10, 0.43514,0.0171097,0.429,0.431,0.432,0.433,0.6
11, 0.48075,0.0153136,0.475,0.477,0.478,0.48,0.625
12, 0.52401,0.0196761,0.517,0.519,0.521,0.522,0.714
13, 0.56674,0.0168882,0.56,0.562,0.563,0.566,0.728
14, 0.60975,0.0193186,0.601,0.604,0.606,0.607,0.792
15, 0.65781,0.0201284,0.645,0.651,0.655,0.658,0.846
16, 0.70961,0.0216092,0.699,0.703,0.705,0.708,0.904
17, 0.7545,0.022544,0.74,0.748,0.751,0.754,0.968
18, 0.79302,0.0251113,0.782,0.786,0.789,0.792,1.034
19, 0.83693,0.0270471,0.824,0.83,0.832,0.837,1.095
20, 0.87953,0.0259058,0.866,0.872,0.875,0.88,1.127
21, 0.91626,0.0282976,0.9,0.909,0.911,0.917,1.189
22, 0.97683,0.0274019,0.964,0.97,0.972,0.977,1.242
23, 1.01817,0.0318745,1.006,1.01,1.013,1.018,1.327
24, 1.06069,0.0313489,1.047,1.054,1.055,1.061,1.365

>>> 'test_cnot_single': 
100 iterations
# of Qubits, Average Time (ms), Sample Std. Deviation (ms), Fastest (ms), 1st Quartile (ms), Median (ms), 3rd Quartile (ms), Slowest (ms)
3, 0.03491,0.131879,0.02,0.02,0.021,0.021,1.346
4, 0.03486,0.130121,0.02,0.021,0.021,0.021,1.328
5, 0.03466,0.133876,0.019,0.02,0.02,0.021,1.365
6, 0.03488,0.134154,0.02,0.02,0.021,0.021,1.368
7, 0.03455,0.130793,0.019,0.02,0.02,0.021,1.334
8, 0.03423,0.131015,0.019,0.02,0.02,0.021,1.336
9, 0.03436,0.131546,0.019,0.02,0.02,0.021,1.342
10, 0.03417,0.134684,0.019,0.02,0.02,0.02,1.374
11, 0.03482,0.13163,0.019,0.02,0.02,0.021,1.341
12, 0.03656,0.134307,0.019,0.02,0.022,0.023,1.37
13, 0.03592,0.13337,0.02,0.02,0.021,0.021,1.359
14, 0.03685,0.132047,0.02,0.022,0.022,0.023,1.348
15, 0.03435,0.134573,0.019,0.02,0.02,0.02,1.372
16, 0.03402,0.133379,0.019,0.019,0.02,0.02,1.36
17, 0.0344,0.134218,0.019,0.02,0.02,0.02,1.368
18, 0.03411,0.132735,0.019,0.019,0.02,0.02,1.353
19, 0.03389,0.133563,0.018,0.019,0.02,0.02,1.361
