Random Seed: 1531369427
############ QEngine -> OpenCL ############
Default platform: NVIDIA CUDA
Default device: Tesla M60
OpenCL device #0: Tesla M60
OpenCL device #1: Tesla M60
>>> 'test_cnot': 
100 iterations
# of Qubits, Average Time (ms), Sample Std. Deviation (ms), Fastest (ms), 1st Quartile (ms), Median (ms), 3rd Quartile (ms), Slowest (ms)
4, 0.17788,0.00670862,0.173,0.176,0.177,0.178,0.238
5, 0.22224,0.00775644,0.219,0.22,0.221,0.222,0.295
6, 0.26708,0.00871858,0.262,0.265,0.266,0.266,0.347
7, 0.31024,0.0210381,0.301,0.303,0.304,0.306,0.434
8, 0.34911,0.0114358,0.344,0.346,0.347,0.348,0.456
9, 0.39358,0.0137005,0.388,0.39,0.391,0.393,0.524
10, 0.43615,0.0147732,0.43,0.432,0.433,0.435,0.575
11, 0.48483,0.0267047,0.474,0.477,0.478,0.48,0.664
12, 0.52149,0.0174771,0.512,0.516,0.518,0.521,0.68
13, 0.57004,0.0208662,0.562,0.565,0.567,0.569,0.772
14, 0.61195,0.0200895,0.603,0.607,0.608,0.611,0.799
15, 0.65628,0.0221229,0.647,0.65,0.652,0.654,0.86
16, 0.70224,0.0226036,0.693,0.697,0.698,0.701,0.92
17, 0.74716,0.0231969,0.734,0.74,0.744,0.746,0.964
18, 0.79354,0.0255251,0.779,0.786,0.789,0.792,1.031
19, 0.83289,0.0254491,0.821,0.826,0.828,0.833,1.078
20, 0.88186,0.0294517,0.865,0.875,0.877,0.88,1.166
21, 0.92466,0.0299634,0.912,0.918,0.92,0.924,1.216
22, 0.9659,0.0298836,0.954,0.958,0.961,0.965,1.251
23, 1.0291,0.0424529,0.994,1.002,1.036,1.04,1.401
24, 1.05755,0.0326001,1.042,1.05,1.052,1.058,1.369

>>> 'test_grover': 
100 iterations
# of Qubits, Average Time (ms), Sample Std. Deviation (ms), Fastest (ms), 1st Quartile (ms), Median (ms), 3rd Quartile (ms), Slowest (ms)
3, 16.0022,0.184669,15.428,15.874,16.023,16.103,16.761
4, 28.3163,1.6424,26.019,26.673,29.412,29.881,30.379
5, 49.5022,1.31999,47.458,48.33,48.747,50.74,52.784
6, 73.9208,2.15841,72.464,73.11,73.428,73.949,88.485
7, 107.801,11.5606,101.562,102.61,103.197,104.045,140.422
8, 162.22,25.2933,154.027,155.094,155.608,156.848,271.534
9, 356.693,82.0056,225.229,230.75,407.83,409.725,413.823
10, 508.681,146.604,349.397,352.946,638.679,647.697,652.641
11, 591.901,113.363,552.659,556.33,558.727,567.443,1008.11
12, 845.427,15.5694,813.829,832.714,841.967,859.488,873.51
13, 1400.86,22.9889,1353.9,1385.78,1402.47,1415.54,1469.97
14, 2445.44,51.5656,2358.6,2410.86,2434.91,2466.07,2588.84
15, 4906.11,104.184,4646.26,4830.91,4912.88,4992.21,5101.04
16, 11262.6,342.841,10644.8,10896.1,11371.5,11574.2,11758.4
17, 22370.4,764.264,21589.2,22076.8,22220.8,22494.4,28812.2

Passed all 3 test cases with 1500 assertions.

############ QUnit -> QEngine -> OpenCL Multi ############
>>> 'test_cnot': 
100 iterations
# of Qubits, Average Time (ms), Sample Std. Deviation (ms), Fastest (ms), 1st Quartile (ms), Median (ms), 3rd Quartile (ms), Slowest (ms)
3, 0.03531,0.141584,0.019,0.02,0.02,0.021,1.443
4, 0.06994,0.277481,0.039,0.04,0.04,0.041,2.83
5, 0.07073,0.280905,0.039,0.039,0.04,0.04,2.862
6, 0.10499,0.415284,0.058,0.059,0.06,0.06,4.234
7, 0.11036,0.416286,0.058,0.059,0.065,0.073,4.25
8, 0.14328,0.560078,0.077,0.078,0.079,0.096,5.713
9, 0.14881,0.553889,0.077,0.079,0.096,0.097,5.656
10, 0.18378,0.693428,0.095,0.098,0.119,0.121,7.08
11, 0.18487,0.691988,0.096,0.099,0.12,0.121,7.068
12, 0.22438,0.831344,0.116,0.12,0.144,0.146,8.494
13, 0.2227,0.83349,0.117,0.12,0.146,0.147,8.513
14, 0.26606,0.979925,0.135,0.149,0.168,0.17,10.013
15, 0.2642,0.967101,0.136,0.165,0.168,0.17,9.884
16, 0.30495,1.11692,0.156,0.192,0.194,0.195,11.416
17, 0.30602,1.13131,0.156,0.191,0.193,0.195,11.56
18, 0.3433,1.26339,0.176,0.209,0.218,0.22,12.911
19, 0.33789,1.25293,0.173,0.211,0.214,0.216,12.802
20, 0.38019,1.39386,0.192,0.237,0.239,0.241,14.246
21, 0.38045,1.39627,0.19,0.238,0.24,0.241,14.27
22, 0.41006,1.54332,0.208,0.218,0.262,0.265,15.763
23, 0.42421,1.55433,0.21,0.261,0.263,0.268,15.886
24, 0.44366,1.69002,0.23,0.263,0.266,0.286,17.256

>>> 'test_x': 
100 iterations
# of Qubits, Average Time (ms), Sample Std. Deviation (ms), Fastest (ms), 1st Quartile (ms), Median (ms), 3rd Quartile (ms), Slowest (ms)
3, 0.16901,0.00697351,0.166,0.167,0.167,0.168,0.229
4, 0.22547,0.00792775,0.222,0.223,0.224,0.225,0.292
5, 0.27935,0.00878565,0.275,0.277,0.278,0.279,0.361
6, 0.33601,0.0101858,0.331,0.333,0.334,0.335,0.428
7, 0.3936,0.011844,0.388,0.39,0.391,0.393,0.503
8, 0.44765,0.0127706,0.441,0.444,0.445,0.447,0.566
9, 0.50205,0.0140217,0.493,0.499,0.5,0.502,0.636
10, 0.56117,0.0178729,0.553,0.556,0.557,0.56,0.724
11, 0.61326,0.0168841,0.606,0.609,0.61,0.612,0.773
12, 0.66782,0.0179485,0.659,0.663,0.664,0.667,0.838
13, 0.71852,0.0206094,0.707,0.712,0.715,0.719,0.911
14, 0.77323,0.0231041,0.759,0.767,0.77,0.774,0.996
15, 0.81423,0.0464293,0.744,0.779,0.802,0.849,1.116
16, 0.84538,0.0228722,0.805,0.835,0.845,0.853,1.029
17, 0.80649,0.0723373,0.755,0.762,0.766,0.869,1.135
18, 0.81482,0.0265938,0.801,0.808,0.811,0.815,1.071
19, 0.85087,0.0373333,0.836,0.84,0.842,0.849,1.133
20, 0.89306,0.0297785,0.882,0.886,0.887,0.892,1.179
21, 0.93705,0.03033,0.926,0.93,0.932,0.935,1.232
22, 0.98573,0.0319198,0.972,0.977,0.98,0.986,1.292
23, 1.03029,0.0342238,1.016,1.021,1.025,1.031,1.362
24, 1.07408,0.0346966,1.06,1.066,1.068,1.073,1.411

>>> 'test_grover': 
100 iterations
# of Qubits, Average Time (ms), Sample Std. Deviation (ms), Fastest (ms), 1st Quartile (ms), Median (ms), 3rd Quartile (ms), Slowest (ms)
3, 23.7939,0.572256,22.124,23.355,23.824,24.295,24.711
4, 40.8235,1.74793,37.896,39.732,40.386,41.526,44.992
5, 77.5873,9.38736,65.438,69.561,71.304,88.166,93.343
6, 110.454,15.6076,95,101.86,104.734,106.327,149.823
7, 184.844,33.2979,141.561,151.53,206.444,217.352,224.57
8, 244.008,45.4341,204.788,219.256,222.339,227.121,340.363
9, 426.192,87.0646,306.356,319.536,481.92,500.848,513.483
10, 505.814,107.278,443.761,455.026,459.833,467.838,766.448
