Random Seed: 1531837821
############ QEngine -> OpenCL ############
Default platform: NVIDIA CUDA
Default device: Tesla M60
OpenCL device #0: Tesla M60
OpenCL device #1: Tesla M60
>>> 'test_cnot_all': 
100 iterations
# of Qubits, Average Time (ms), Sample Std. Deviation (ms), Fastest (ms), 1st Quartile (ms), Median (ms), 3rd Quartile (ms), Slowest (ms)
14, 0.17228,0.0935368,0.139,0.143,0.145,0.152,0.762
15, 0.0662,0.113036,0.027,0.03,0.03,0.031,0.609
16, 0.2785,0.134491,0.215,0.218,0.227,0.235,0.8
17, 0.13898,0.246934,0.028,0.03,0.031,0.032,1.035
18, 0.8721,0.476376,0.505,0.532,0.607,1.035,2.274
19, 1.21796,1.27653,0.03,0.031,0.522,2.751,3.063
20, 5.33584,2.51404,1.578,3.153,4.77,7.208,10.324
21, 10.6654,2.08298,6.914,9.085,10.519,12.342,14.64
22, 39.055,2.64855,34.859,37.223,39.578,41.025,44.634
23, 54.3724,1.46932,50.355,53.219,54.488,55.604,57.357
24, 189.233,4.6614,177.838,186.808,189.166,192.636,197.982
25, 243.005,4.56682,237.945,240.238,241.715,244.615,275.468
26, 828.451,12.4105,794.027,826.37,831.709,835.737,842.319
27, 1042.46,17.7439,1032.26,1034.28,1035.57,1043.28,1179.16
28, 3529.6,13.11,3494.3,3528.86,3535.21,3537.52,3544.33

>>> 'test_x_all': 
100 iterations
# of Qubits, Average Time (ms), Sample Std. Deviation (ms), Fastest (ms), 1st Quartile (ms), Median (ms), 3rd Quartile (ms), Slowest (ms)
3, 1.43113,2.47183,0.072,0.876,0.893,0.925,17.448
4, 0.90095,0.0474003,0.78,0.882,0.89,0.906,1.195
5, 0.87648,0.151882,0.063,0.872,0.886,0.9,1.232
6, 0.8948,0.0717962,0.525,0.879,0.89,0.902,1.15
7, 0.88276,0.0974701,0.077,0.873,0.879,0.892,1.213
8, 0.89088,0.10638,0.078,0.873,0.882,0.903,1.319
9, 0.88797,0.106447,0.078,0.875,0.883,0.899,1.374
10, 0.90472,0.0707894,0.704,0.881,0.89,0.913,1.404
11, 0.90371,0.107646,0.076,0.883,0.892,0.908,1.385
12, 0.91355,0.0738416,0.787,0.889,0.898,0.915,1.513
13, 0.90094,0.105657,0.063,0.882,0.897,0.911,1.388
14, 0.91504,0.106056,0.084,0.903,0.911,0.925,1.428
15, 0.94691,0.115856,0.077,0.931,0.939,0.952,1.484
16, 0.99823,0.11465,0.071,0.985,0.993,1.008,1.408
17, 1.12172,0.129064,0.092,1.096,1.11,1.143,1.672
18, 1.6307,0.219989,0.072,1.562,1.579,1.7,2.27
19, 2.25336,0.276601,1.819,2.146,2.174,2.244,3.95
20, 3.32235,0.472505,2.033,3.111,3.156,3.343,5.887
21, 5.14467,0.95728,3.751,4.306,5.113,5.476,9.099
22, 13.5186,1.7851,9.691,12.337,13.448,14.679,20.576
23, 43.7177,2.90143,38.254,41.337,43.38,45.755,54.811
24, 83.4959,5.03609,77.503,80.016,81.19,86.931,105.416
25, 166.734,8.64171,158.558,161.086,163.452,169.074,210.77
26, 324.712,9.77534,316.044,321.278,323.211,326.098,414.167
27, 644.3,19.7897,632.75,638.555,641.562,644.143,829.908
28, 1279.49,37.9219,1266.94,1273.61,1275.92,1278.11,1655.09

>>> 'test_cnot_single': 
100 iterations
# of Qubits, Average Time (ms), Sample Std. Deviation (ms), Fastest (ms), 1st Quartile (ms), Median (ms), 3rd Quartile (ms), Slowest (ms)
3, 0.11264,0.789947,0.028,0.029,0.03,0.036,7.972
4, 0.06294,0.309862,0.028,0.029,0.03,0.03,3.144
5, 0.0666,0.298809,0.028,0.029,0.03,0.031,3.034
6, 0.0351,0.0233836,0.028,0.029,0.03,0.031,0.228
7, 0.03493,0.026953,0.027,0.028,0.029,0.03,0.225
8, 0.03464,0.0249201,0.027,0.029,0.029,0.03,0.224
9, 0.04248,0.0587596,0.028,0.029,0.029,0.031,0.595
10, 0.04531,0.0591807,0.028,0.029,0.03,0.038,0.605
11, 0.03877,0.0653597,0.027,0.028,0.029,0.029,0.675
12, 0.03812,0.0626299,0.027,0.028,0.029,0.029,0.648
13, 0.04101,0.0581528,0.027,0.028,0.029,0.03,0.59
14, 0.03776,0.0618542,0.026,0.028,0.029,0.03,0.644
15, 0.04049,0.061262,0.027,0.028,0.029,0.029,0.612
16, 0.04154,0.0638322,0.027,0.029,0.029,0.03,0.654
17, 0.03765,0.0640678,0.027,0.028,0.028,0.029,0.654
18, 0.03623,0.0614818,0.02,0.028,0.028,0.029,0.646
19, 0.05279,0.0804679,0.027,0.03,0.038,0.038,0.654
20, 0.11514,0.200337,0.032,0.033,0.038,0.04,0.786
21, 0.21448,0.369209,0.029,0.033,0.047,0.05,1.483
22, 0.51213,0.798199,0.032,0.033,0.036,0.704,2.658
23, 1.90298,1.78432,0.032,0.035,1.623,3.258,7.099
24, 6.45689,2.66396,2.571,4.496,6.292,8.077,22.795
25, 16.5467,3.64311,11.632,14.796,16.285,17.394,47.971
26, 36.5515,6.11393,30.871,34.747,36.028,37.24,94.407
27, 77.3562,11.1994,71.212,74.222,76.289,77.909,186.056
28, 158.675,21.9037,147.684,152.736,156.745,160.493,372.629

>>> 'test_x_single': 
100 iterations
