Device #0, Loaded binary from: /home/ubuntu/.qrack/qrack_ocl_dev_0.ir
Default platform: NVIDIA CUDA
Default device: Tesla M60
OpenCL device #0: Tesla M60

100 iterations
# of Qubits, Depth, Average Time (ms), Sample Std. Deviation (ms), Fastest (ms), 1st Quartile (ms), Median (ms), 3rd Quartile (ms), Slowest (ms)
20, 15, 77.2332,13.3849,38.859,69.899,78.6935,88.5215,101.273
20, 16, 83.547,14.5117,41.093,73.5615,83.9595,93.138,111.233
20, 17, 88.3857,17.1998,36.043,78.3315,88.94,99.084,124.013
20, 18, 100.944,13.1898,62.608,91.3535,101.924,111.792,124.848
20, 19, 107.534,12.2846,64.006,98.0155,107.743,116.89,136.207
20, 20, 112.81,16.5619,63.253,101.189,115.409,125.231,144.044
21, 1, 0.36792,0.372123,0.024,0.028,0.364,0.4095,1.991
21, 2, 0.74536,0.401619,0.046,0.406,0.756,0.993,1.796
21, 3, 1.36554,0.798877,0.062,0.9625,1.3245,1.6975,6.072
21, 4, 4.39345,4.69735,0.519,1.557,2.254,6.5405,24.254
21, 5, 7.79225,5.86199,0.728,2.4615,6.801,11.234,25.606
21, 6, 16.0942,9.36777,1.424,9.208,15.0815,21.277,51.507
21, 7, 24.0248,14.641,2.66,14.209,20.862,27.6185,79.821
21, 8, 36.9351,17.6755,12.164,22.794,31.858,45.5085,86.882
21, 9, 47.721,19.4536,18.56,33.716,43.906,62.34,93.643
21, 10, 53.0221,22.2343,11.711,35.853,51.2205,68.9955,120.794
21, 11, 68.3729,23.9008,27.221,50.735,67.4935,87.2595,127.6
21, 12, 83.3144,25.048,30.955,65.4425,83.2,99.8565,147.351
21, 13, 99.0614,25.2497,36.68,83.4785,99.108,118.509,167.751
21, 14, 113.467,31.3491,34.45,90.5495,113.96,134.509,180.268
21, 15, 120.87,26.5968,58.421,103.014,121.337,142.564,190.006
21, 16, 139.078,30.8123,63.896,122.775,141.628,160.163,191.123
