Device #0, Loaded binary from: /home/ubuntu/.qrack/qrack_ocl_dev_0.ir
Default platform: NVIDIA CUDA
Default device: Tesla M60
OpenCL device #0: Tesla M60

100 iterations
# of Qubits, Depth, Average Time (ms), Sample Std. Deviation (ms), Fastest (ms), 1st Quartile (ms), Median (ms), 3rd Quartile (ms), Slowest (ms)
12, 9, 22.328,2.89843,12.729,20.7205,22.8765,24.0425,27.23
12, 10, 23.2986,2.91129,14.77,21.849,24.016,25.137,28.509
12, 11, 24.8361,2.11978,18.809,23.8605,25.233,26.1355,28.481
12, 12, 26.3216,2.03493,17.11,25.5105,26.623,27.2695,30.784
12, 13, 27.052,1.9079,21.337,26.13,27.2985,28.09,31.393
12, 14, 28.1869,1.7511,21.562,27.3825,28.1735,29.1115,32.482
12, 15, 29.5197,1.73899,21.821,28.6605,29.4255,30.4445,33.264
12, 16, 30.0394,1.54816,26.079,28.929,29.9225,31.2545,34.037
12, 17, 30.7541,1.5613,26.659,29.855,30.698,31.559,35.066
12, 18, 31.4252,1.48511,27.21,30.443,31.359,32.2885,35.656
12, 19, 32.9141,1.42941,29.91,31.7415,32.9455,33.94,36.239
12, 20, 33.605,1.74361,28.966,32.5985,33.553,34.488,39.129
13, 1, 1.35673,1.58797,0.021,0.022,0.827,1.9375,5.839
13, 2, 3.35087,2.80742,0.033,1.6725,2.118,5.5245,11.577
13, 3, 6.56906,3.74284,0.046,4.0685,6.1305,8.5525,17.418
13, 4, 9.85083,4.89486,0.061,6.1075,9.635,13.014,22.92
13, 5, 14.5549,5.26342,1.969,11.24,15.637,18.367,23.962
13, 6, 17.1228,5.12043,1.997,13.639,17.0995,21.5515,27.008
13, 7, 20.1906,3.95172,10.285,17.275,20.972,22.688,28.145
13, 8, 22.3665,3.4976,9.716,20.432,23.0905,24.754,28.721
13, 9, 24.4181,3.05038,10.857,22.829,24.992,26.4125,30.406
13, 10, 25.6457,2.71474,17.082,24.046,26.3365,27.3945,32.108
13, 11, 26.4945,2.62141,16.905,25.1465,26.9315,28.387,30.342
13, 12, 28.01,2.68301,15.083,26.804,28.595,29.722,33.356
13, 13, 29.1873,1.81246,24.671,28.329,29.449,30.217,34.802
13, 14, 30.3351,1.92861,24.193,29.316,30.344,31.559,36.362
13, 15, 31.4519,1.91806,26.048,30.3975,31.447,32.691,35.581
13, 16, 32.34,1.57475,27.271,31.4105,32.435,33.3795,37.377
13, 17, 33.7857,1.56059,30.066,32.818,33.6785,34.8505,37.285
13, 18, 34.7837,1.74937,30.371,33.7025,34.717,35.8845,39.541
13, 19, 35.7512,1.71171,31.883,34.6165,35.5755,37.142,40.218
13, 20, 36.3979,1.71984,31.432,35.349,36.4365,37.3885,41.862
14, 1, 1.39512,1.71634,0.021,0.023,0.026,1.924,7.968
14, 2, 3.53561,3.08053,0.035,1.805,2.203,5.451,13.593
14, 3, 8.1312,4.49283,0.048,4.3235,8.181,10.504,19.5
14, 4, 10.5374,5.01079,0.063,7.03,10.3375,14.273,22.26
14, 5, 14.3077,6.04892,0.078,10.542,15.1025,18.875,25.706
14, 6, 18.4774,5.61664,4.61,14.897,19.668,22.9915,27.223
14, 7, 21.9358,4.79616,7.255,19.744,22.2395,25.221,30.144
14, 8, 24.6272,3.60659,13.649,22.9505,25.0725,27.0535,31.648
14, 9, 26.3653,3.1427,13.913,24.487,27.085,28.5905,32.626
14, 10, 27.7046,3.26959,15.295,26.3535,28.012,29.9205,34.539
14, 11, 29.6568,2.47991,21.727,27.895,30.178,31.2245,34.892
14, 12, 30.8494,2.07077,25.771,29.485,30.862,32.1515,35.496
14, 13, 32.2677,2.12653,27.339,30.858,32.4225,33.4975,36.984
14, 14, 33.6358,2.06485,27.559,32.302,33.8195,35.0065,37.572
14, 15, 34.158,2.12683,27.381,32.946,34.358,35.3835,39.073
14, 16, 35.7175,1.72983,32.354,34.523,35.6465,36.8475,39.657
14, 17, 36.8184,1.63938,32.342,35.6565,36.9705,37.9425,41.166
14, 18, 37.7167,1.54932,33.886,36.653,37.784,38.948,41.393
14, 19, 38.9722,1.9062,33.109,37.769,39.094,40.217,44.081
14, 20, 39.9955,1.60454,35.255,39.026,39.996,40.885,44.486
15, 1, 1.08373,1.47475,0.023,0.024,0.026,1.9215,6.997
15, 2, 4.54982,3.02485,0.039,2.0985,4.1025,6.568,12.694
15, 3, 7.67869,4.50585,0.052,3.9205,7.8465,11.0525,16.451
15, 4, 11.7166,5.23784,0.067,8.2115,11.6505,14.8975,24.654
15, 5, 15.9511,5.82029,3.999,12.0405,15.9265,21.2785,25.762
15, 6, 19.9174,4.72886,9.621,16.845,20.35,23.677,28.895
15, 7, 23.8,4.75749,8.168,21.257,24.6675,27.3955,32.894
15, 8, 26.7009,3.25428,16.644,24.1485,27.1785,29.415,32.184
15, 9, 28.5793,3.93743,12.782,27.565,29.581,31.0335,35.644
15, 10, 30.3718,3.15576,20.086,29.0935,31.052,32.7495,34.768
15, 11, 32.0759,2.40757,24.702,30.525,32.3805,33.7315,36.902
15, 12, 34.1816,2.22775,27.275,32.892,34.2435,35.4015,39.449
15, 13, 34.9361,2.00441,27.965,33.814,35.388,36.1825,39.48
15, 14, 36.2819,2.54187,27.687,35.0395,36.384,37.8975,43.158
15, 15, 37.5389,1.83008,31.894,36.6175,37.5405,38.603,43.447
15, 16, 39.0103,1.98399,35.537,37.424,39.021,40.4565,44.325
15, 17, 39.9301,2.08436,34.489,38.7905,39.7905,41.497,45.485
15, 18, 41.632,1.70988,37.449,40.469,41.8225,42.802,46.597
15, 19, 42.8417,1.82744,37.448,41.8725,42.5915,44.144,48.712
15, 20, 43.9247,2.10424,37.25,42.806,43.8395,45.191,49.193
16, 1, 1.50211,1.81519,0.024,0.025,0.029,2.596,7.492
16, 2, 4.45587,2.99184,0.042,2.039,3.961,6.2225,12.67
16, 3, 8.8586,4.76132,0.06,5.7035,8.5305,12.33,22.118
16, 4, 12.6522,5.22417,1.965,8.459,12.673,15.959,26.466
16, 5, 17.5239,5.45253,4.409,13.8275,17.6055,21.5145,32.401
16, 6, 21.8409,5.03711,9.679,17.971,22.3655,25.8425,32.088
16, 7, 26.3814,4.36839,7.666,24.2635,26.9315,29.5415,35.645
16, 8, 28.6624,4.65906,9.431,26.2075,29.0835,31.999,39.317
16, 9, 30.5456,3.66253,17.29,27.8685,31.11,33.386,38.204
16, 10, 32.803,3.44082,22.466,30.815,33.4955,35.363,39.116
16, 11, 34.8386,2.77617,26.806,33.2345,35.005,36.951,40.595
16, 12, 36.9562,2.91261,27.931,35.4375,37.096,38.9645,43.565
16, 13, 37.8919,2.40838,32.934,36.1185,38.0715,39.613,43.61
16, 14, 40.3629,2.55756,33.036,38.793,40.3415,41.8855,45.946
16, 15, 41.5516,2.44647,35.261,39.982,41.6985,43.183,47.217
16, 16, 43.3331,2.06722,38.049,41.8065,43.217,44.6495,49.862
16, 17, 44.8226,2.20377,40.42,43.441,44.675,45.977,52.171
16, 18, 46.2668,2.19434,34.881,45.0225,46.2095,47.652,52.944
16, 19, 47.7737,2.45462,40.57,46.376,48.2155,49.49,52.461
16, 20, 49.4366,2.70106,36.383,47.995,49.64,50.907,56.078
17, 1, 1.38786,1.66588,0.026,0.027,0.838,1.943,7.205
17, 2, 4.5467,3.30285,0.042,1.957,4.1605,6.493,13.809
17, 3, 8.23247,4.66796,0.056,4.5345,8.205,11.043,24.137
17, 4, 13.6306,5.65039,0.075,9.3125,12.995,16.7455,27.853
17, 5, 19.6655,5.54102,4.437,16.6465,20.1795,23.258,30.273
17, 6, 23.0811,5.57335,2.483,19.2915,24.0005,27.23,33.253
17, 7, 27.1178,5.07247,13.937,23.997,27.513,30.8915,37.9
17, 8, 31.2026,4.56002,15.711,28.214,31.28,34.4625,39.144
17, 9, 34.0523,3.88586,22.21,31.0915,34.385,36.9995,42.786
17, 10, 36.0861,3.57304,25.094,33.6035,36.4865,38.573,45.663
17, 11, 38.0767,3.88843,25.388,35.6215,38.6145,40.8105,44.676
17, 12, 40.5475,3.55192,29.991,37.994,41.168,43.3255,48.113
17, 13, 42.9242,3.06548,34.271,40.7875,43.0235,44.7075,53.345
17, 14, 45.4819,2.98657,37.094,43.4935,45.48,47.556,52.782
17, 15, 46.9221,3.12859,32.62,45.636,47.451,48.9555,54.42
17, 16, 49.3478,2.99119,41.821,47.145,49.2255,51.0355,58.433
17, 17, 51.0938,3.00098,42.017,49.31,50.7615,53.2295,59.259
17, 18, 53.1954,2.69161,45.729,51.667,53.2795,54.7755,60.79
17, 19, 55.3155,2.97873,48.336,53.2985,55.384,57.491,61.053
17, 20, 56.761,3.007,48.26,55.0505,56.7565,59.0945,62.915
18, 1, 1.76548,2.06891,0.026,0.029,1.6705,2.0275,7.984
18, 2, 4.46138,3.54828,0.045,2.082,3.945,5.956,20.19
18, 3, 8.46254,4.41212,0.063,4.336,7.7235,11.7915,22.898
18, 4, 14.8785,6.09016,2.016,9.8755,14.147,18.1655,34.473
18, 5, 20.2018,6.33159,2.211,16.691,20.6405,23.898,33.347
18, 6, 26.2353,5.27263,12.37,22.4585,25.967,29.778,40.789
18, 7, 29.1819,5.14058,17.184,26.0415,29.167,32.3455,47.266
18, 8, 34.4134,5.05626,23.395,30.735,35.0755,37.9945,48.712
18, 9, 37.0899,5.44296,18.255,33.6265,36.6785,41.047,50.626
18, 10, 41.505,4.97265,26.406,38.7295,41.8125,45.4455,51.913
18, 11, 44.321,4.6099,33.295,40.8385,45.0655,47.7865,54.226
18, 12, 47.0236,5.04746,31.846,43.147,47.661,51.091,56.256
18, 13, 49.5936,5.12857,38.273,45.9,50.3305,54.031,59.713
18, 14, 53.5697,4.85672,40.148,50.5005,53.896,56.94,65.145
18, 15, 54.998,4.68266,43.676,51.5295,54.933,58.843,66.812
18, 16, 58.2139,5.19912,45.528,54.388,58.307,61.9175,70.752
18, 17, 61.3271,4.814,49.379,58.4335,61.4745,64.082,73.574
18, 18, 64.549,4.57213,48.63,61.634,65.172,67.6075,72.325
18, 19, 68.0115,4.50124,56.127,65.3615,67.944,71.48,82.303
18, 20, 67.5399,4.52129,53.546,64.654,68.007,70.722,78.64
19, 1, 1.38623,1.46993,0.028,0.03,1.6555,1.9275,5.822
19, 2, 4.8532,3.43444,0.048,2.0825,4.9115,7.2665,14.358
19, 3, 9.28776,4.65542,0.067,5.9045,9.629,12.583,18.904
19, 4, 14.8472,5.36419,1.961,11.184,14.9125,18.4725,27.449
19, 5, 22.4977,6.30389,8.021,18.319,21.5345,26.9255,38.314
19, 6, 27.068,5.97841,7.859,23.659,27.044,31.651,40.498
19, 7, 32.2915,6.91588,15.59,28.092,32.235,36.5845,49.787
19, 8, 37.4031,7.34923,16.167,32.837,36.485,41.229,62.679
19, 9, 44.3688,9.03308,23.836,37.4725,43.368,50.7995,67.361
19, 10, 48.4479,8.50735,30.99,41.698,48.4935,55.1375,68.127
19, 11, 54.0445,9.3706,35.124,45.9045,55.097,61.563,75.032
19, 12, 57.7074,9.153,37.359,51.1585,58.339,63.9935,79.354
19, 13, 60.1946,9.20441,41.032,54.368,61.1145,66.8285,84.093
19, 14, 63.1097,8.38205,45.422,56.0505,62.7175,69.191,81.127
19, 15, 64.7191,8.54934,42.968,58.345,64.7275,70.4465,83.117
19, 16, 66.8051,7.67472,49.749,61.928,67.5525,72.1,82.965
19, 17, 72.0269,7.54999,50.679,67.9785,73.082,76.85,89.636
19, 18, 74.5274,8.37277,49.851,69.1345,75.2625,80.2005,90.408
19, 19, 77.8439,8.29804,53.73,72.755,78.8295,83.298,97.116
19, 20, 83.7545,8.42765,64.026,77.199,85.411,90.2155,101.724
20, 1, 1.63348,1.70287,0.029,0.032,1.6465,1.897,7.317
20, 2, 6.04437,3.62642,0.05,3.6085,5.8025,8.8395,16.089
20, 3, 10.9603,5.12953,0.07,6.479,9.7445,14.327,24.104
20, 4, 15.9806,6.81841,0.093,11.6065,15.831,21.2855,32.416
20, 5, 23.121,7.32439,3.934,18.608,23.252,28.077,41.877
20, 6, 29.08,9.06202,9.049,23.662,28.3505,32.0645,67.481
20, 7, 36.6374,10.8662,14.083,30.0225,35.6725,41.3985,66.297
20, 8, 43.2343,11.3653,21.983,35.5835,41.127,48.882,77.489
20, 9, 49.296,12.2243,25.849,38.8645,47.5845,57.05,83.977
20, 10, 54.8947,12.2989,33.884,45.012,54.796,63.6895,84.916
20, 11, 58.8558,12.2363,35.042,50.6315,58.066,66.881,93.636
20, 12, 64.4072,13.3962,32.492,55.0855,64.654,74.3185,91.362
20, 13, 71.8308,13.2396,44.326,61.1865,72.413,82.016,103.286
20, 14, 78.8571,12.9927,42.284,69.9515,79.369,88.8025,109.345
20, 15, 85.1372,14.7858,48.462,74.9185,85.5605,96.1295,119.439
20, 16, 93.3884,14.7379,46.233,86.6455,94.1625,103.563,128.853
20, 17, 101.191,13.4009,62.789,92.1335,103.668,109.572,126.558
20, 18, 109.497,17.0022,65.391,99.206,110.393,120.893,148.706
20, 19, 114.823,13.1783,79.02,106.327,117.833,123.866,140.132
20, 20, 122.038,13.6439,74.101,113.445,123.295,131.491,148.589
21, 1, 1.59619,1.83917,0.031,0.033,1.5985,2.5965,9.236
21, 2, 5.70233,4.22791,0.052,2.098,5.367,8.3895,19.87
21, 3, 10.8323,6.26564,0.071,6.162,11.5495,14.584,42.026
21, 4, 17.8903,5.18714,7.458,13.791,18.275,21.816,32.008
21, 5, 23.5192,6.90933,6.17,18.6185,23.8545,28.425,45.899
21, 6, 32.4355,9.98075,15.244,26.1015,32.0015,36.9095,72.119
21, 7, 40.0755,14.6493,18.842,31.8185,35.926,44.737,102.25
21, 8, 50.4103,16.9948,19.235,37.8015,45.8755,58.9325,97.31
21, 9, 54.518,15.3526,22.77,42.124,52.3555,63.477,94.052
21, 10, 66.2016,18.585,28.805,52.2015,63.272,80.7075,119.085
21, 11, 78.3119,21.6898,37.728,61.3135,77.8845,91.7725,127.5
21, 12, 88.6106,24.8753,41.699,70.039,86.012,106.075,143.955
21, 13, 104.042,26.6006,41.248,86.2515,104.964,123.938,176.845
21, 14, 116.864,25.8508,48.61,100.868,120.229,136.251,164.386
21, 15, 134.785,23.5852,75.625,117.28,136.789,152.79,186.959
21, 16, 145.261,25.0512,78.552,129.651,143.63,162.967,200.295
21, 17, 158.247,28.6649,88.259,141.529,163.845,179.725,210.566
