Device #0, Loaded binary from: /home/ubuntu/.qrack/qrack_ocl_dev_0.ir
Default platform: NVIDIA CUDA
Default device: Tesla M60
OpenCL device #0: Tesla M60

100 iterations
# of Qubits, Depth, Average Time (ms), Sample Std. Deviation (ms), Fastest (ms), 1st Quartile (ms), Median (ms), 3rd Quartile (ms), Slowest (ms)
20, 2, 3.36849,0.22884,2.758,3.1995,3.3665,3.5405,3.852
20, 3, 24.4096,0.493258,23.613,24.1995,24.3615,24.5205,28.25
20, 4, 33.4684,0.466528,32.253,33.1595,33.446,33.72,35.231
20, 5, 42.6817,0.367662,41.874,42.4295,42.611,42.9165,43.538
20, 6, 51.1431,0.396594,50.126,50.882,51.1535,51.4185,52.385
20, 7, 60.4623,0.369621,59.342,60.2345,60.4745,60.738,61.223
20, 8, 68.9402,0.399298,67.895,68.672,68.9815,69.212,70.128
20, 9, 78.1433,0.362709,77.115,77.892,78.1555,78.3975,78.876
20, 10, 86.7116,0.373957,85.746,86.4505,86.72,86.994,87.546
20, 11, 95.867,0.387433,94.679,95.635,95.8935,96.0635,96.857
20, 12, 104.295,0.376108,103.357,104.031,104.352,104.57,105.193
20, 13, 113.632,0.45288,112.435,113.346,113.654,113.915,114.869
20, 14, 121.944,0.443018,120.715,121.646,121.987,122.223,122.988
20, 15, 131.386,0.490638,130.259,131.108,131.335,131.704,133.005
20, 16, 139.829,0.491122,138.479,139.495,139.766,140.113,141.111
20, 17, 148.891,0.450761,147.982,148.557,148.92,149.182,150.175
20, 18, 157.349,0.439249,156.288,157.08,157.423,157.637,158.702
20, 19, 166.44,0.441885,165.247,166.157,166.465,166.755,167.825
20, 20, 175.015,0.544764,173.593,174.69,175.029,175.341,176.275
21, 1, 2.8018,0.243245,2.273,2.622,2.7865,2.938,4.048
21, 2, 3.69445,0.233722,3.1,3.534,3.7215,3.8705,4.452
21, 3, 34.0616,0.773734,33.18,33.754,33.9875,34.236,40.836
21, 4, 51.1728,0.534914,49.75,50.872,51.319,51.556,52.125
21, 5, 69.539,0.542338,68.5,69.0605,69.5865,69.994,70.517
21, 6, 86.0057,0.541702,84.7,85.6245,86.0695,86.4605,87.002
21, 7, 104.343,0.517644,103.236,103.896,104.438,104.751,105.255
21, 8, 120.681,0.620187,119.315,120.264,120.706,121.063,122.325
21, 9, 139.243,0.642851,137.602,138.767,139.32,139.68,140.423
21, 10, 155.441,0.551354,154.191,155.085,155.538,155.768,156.768
21, 11, 173.475,0.551222,172.16,172.966,173.633,173.865,174.745
21, 12, 189.946,0.594721,188.677,189.493,190.003,190.382,191.493
21, 13, 208.093,0.569593,206.604,207.674,208.181,208.521,209.487
21, 14, 224.372,0.640746,223.183,223.826,224.432,224.891,225.777
21, 15, 243,1.27421,241.445,242.34,242.865,243.17,249.808
21, 16, 259.547,1.80668,257.605,258.667,259.167,259.482,267.313
21, 17, 278.732,2.47679,276.395,277.357,277.904,278.392,288.453
